id,nama_kost,alamat,lokasi_jabodetabek,harga,AC,Kasur,Lemari,WiFi,"Wc duduk","Kamar mandi dalam",Listrik,"Luas kamar",gender,deskripsi
2243,"Kost Nyaman Selaras","Psr. Cikutra Timur No. 324, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",600000,0,1,0,0,0,1,0,"22 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Kamar Mandi Dalam di Bekasi Barat, Bekasi"
2244,"Kost Griya Utama","Jln. Astana Anyar No. 625, Bogor Utara, Bogor","Bogor Utara, Bogor",1700000,0,0,1,0,0,1,0,"28 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Kamar Mandi Dalam, Lemari di Bogor Utara, Bogor"
2245,"Kost Nyaman Baru","Ki. Bank Dagang Negara No. 579, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",900000,1,0,0,0,0,0,0,"15 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, AC, Dapur Bersama di Jakarta Timur, Jakarta"
2246,"Kost Wisma Barokah","Jln. Sukabumi No. 767, Beji, Depok","Beji, Depok",700000,0,0,0,1,0,0,0,"11 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, WiFi di Beji, Depok"
2247,"Kost Griya Makmur","Jln. Sumpah Pemuda No. 703, Bogor Utara, Bogor","Bogor Utara, Bogor",1800000,0,1,0,0,0,1,1,"26 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, Kamar Mandi Dalam, Dapur Bersama, Listrik di Bogor Utara, Bogor"
2248,"Kost Harmoni Jaya","Jln. Gedebage Selatan No. 583, Cimanggis, Depok","Cimanggis, Depok",600000,1,1,1,0,1,0,0,"18 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, AC, Wc duduk, Kasur di Cimanggis, Depok"
2249,"Kost Damai Jaya","Psr. Bara Tambar No. 606, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1200000,0,0,0,0,0,1,1,"20 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Luas kamar, Kamar Mandi Dalam di Tangerang Kota, Tangerang"
2250,"Kost Griya Lestari","Ki. Batako No. 922, Bogor Tengah, Bogor","Bogor Tengah, Bogor",1500000,0,0,1,0,0,1,1,"27 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Listrik, Kamar Mandi Dalam di Bogor Tengah, Bogor"
2251,"Kost Sentosa Makmur","Ki. Sutami No. 984, Bogor Timur, Bogor","Bogor Timur, Bogor",500000,0,0,0,0,1,0,0,"19 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Luas kamar di Bogor Timur, Bogor"
2252,"Kost Asri Lestari","Psr. Thamrin No. 698, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1000000,0,1,0,1,0,0,0,"13 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Kasur, Luas kamar di Tangerang Kota, Tangerang"
2253,"Kost Harmoni Selaras","Ki. Sutarjo No. 157, Bogor Utara, Bogor","Bogor Utara, Bogor",1000000,0,0,0,1,0,0,1,"19 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Listrik di Bogor Utara, Bogor"
2254,"Kost Wisma Indah","Kpg. Babah No. 762, Bogor Barat, Bogor","Bogor Barat, Bogor",1000000,1,0,1,1,0,1,0,"25 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, AC, Kamar Mandi Dalam, Lemari di Bogor Barat, Bogor"
2255,"Kost Nyaman Selaras","Dk. Untung Suropati No. 613, Bogor Tengah, Bogor","Bogor Tengah, Bogor",1600000,0,0,1,0,0,0,0,"29 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Lemari di Bogor Tengah, Bogor"
2256,"Kost Damai Barokah","Gg. Lada No. 986, Beji, Depok","Beji, Depok",1900000,0,0,0,0,0,1,0,"26 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Kamar Mandi Dalam di Beji, Depok"
2257,"Kost Sejahtera Barokah","Dk. Asia Afrika No. 514, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",1800000,0,1,0,0,1,0,1,"11 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Wc duduk, Listrik di Bekasi Timur, Bekasi"
2258,"Kost Nyaman Barokah","Jln. Tambun No. 97, Bogor Selatan, Bogor","Bogor Selatan, Bogor",700000,1,0,1,0,0,1,1,"27 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, AC, Lemari, Listrik di Bogor Selatan, Bogor"
2259,"Kost Harmoni Selaras","Kpg. Jagakarsa No. 773, Bogor Selatan, Bogor","Bogor Selatan, Bogor",1200000,0,0,0,0,0,1,1,"11 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Kamar Mandi Dalam, Dapur Bersama, Luas kamar di Bogor Selatan, Bogor"
2260,"Kost Asri Utama","Ki. Yap Tjwan Bing No. 126, Bogor Barat, Bogor","Bogor Barat, Bogor",500000,1,0,1,1,0,1,0,"11 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, WiFi, AC, Kamar Mandi Dalam di Bogor Barat, Bogor"
2261,"Kost Indah Makmur","Gg. Lumban Tobing No. 678, Bogor Selatan, Bogor","Bogor Selatan, Bogor",500000,0,0,0,0,1,0,1,"25 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Wc duduk, Listrik di Bogor Selatan, Bogor"
2262,"Kost Sejahtera Asri","Psr. Baranangsiang No. 770, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",1300000,1,0,0,1,0,0,0,"11 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, AC, WiFi di Jakarta Pusat, Jakarta"
2263,"Kost Damai Makmur","Psr. Pasteur No. 235, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",1700000,1,1,0,0,1,0,1,"21 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, AC, Listrik, Kasur di Bekasi Timur, Bekasi"
2264,"Kost Harmoni Asri","Ds. Ters. Jakarta No. 690, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",1200000,1,0,0,1,0,1,1,"10 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Listrik, WiFi, AC di Bekasi Timur, Bekasi"
2265,"Kost Asri Abadi","Dk. Qrisdoren No. 790, Bogor Barat, Bogor","Bogor Barat, Bogor",1500000,1,1,0,0,0,0,1,"25 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Listrik, AC di Bogor Barat, Bogor"
2266,"Kost Sentosa Indah","Jr. Taman No. 585, Bogor Selatan, Bogor","Bogor Selatan, Bogor",500000,0,0,1,0,1,0,1,"24 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Lemari, Listrik, Luas kamar di Bogor Selatan, Bogor"
2267,"Kost Harmoni Jaya","Psr. Otista No. 56, Bogor Utara, Bogor","Bogor Utara, Bogor",1900000,0,1,1,0,0,1,0,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, Luas kamar, Lemari, Kamar Mandi Dalam di Bogor Utara, Bogor"
2268,"Kost Sejahtera Lestari","Jr. Qrisdoren No. 517, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",800000,1,0,1,0,0,0,0,"25 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, AC di Jakarta Selatan, Jakarta"
2269,"Kost Asri Asri","Dk. Raya Ujungberung No. 276, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",900000,0,0,1,1,0,0,0,"26 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Lemari di Jakarta Pusat, Jakarta"
2270,"Kost Nyaman Abadi","Jr. M.T. Haryono No. 398, Bekasi Selatan, Bekasi","Bekasi Selatan, Bekasi",1900000,0,0,0,0,0,0,1,"29 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Dapur Bersama, Luas kamar di Bekasi Selatan, Bekasi"
2271,"Kost Harmoni Indah","Jln. Tubagus Ismail No. 4, Bekasi Utara, Bekasi","Bekasi Utara, Bekasi",900000,0,0,0,0,1,0,0,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Dapur Bersama di Bekasi Utara, Bekasi"
2272,"Kost Sejahtera Utama","Kpg. Bambon No. 480, Bogor Utara, Bogor","Bogor Utara, Bogor",1000000,1,0,0,0,0,1,0,"29 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Kamar Mandi Dalam, AC di Bogor Utara, Bogor"
2273,"Kost Bahagia Selaras","Kpg. Yap Tjwan Bing No. 110, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",750000,0,0,1,0,0,0,0,"23 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Luas kamar di Bekasi Timur, Bekasi"
2274,"Kost Asri Abadi","Psr. Dipenogoro No. 460, Beji, Depok","Beji, Depok",1300000,0,0,0,0,1,1,0,"14 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Luas kamar, Kamar Mandi Dalam di Beji, Depok"
2275,"Kost Indah Selaras","Dk. Sukajadi No. 543, Bogor Utara, Bogor","Bogor Utara, Bogor",1500000,0,1,0,1,1,0,0,"15 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Wc duduk, Luas kamar, WiFi di Bogor Utara, Bogor"
2276,"Kost Griya Indah","Jr. Abdullah No. 566, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",1600000,0,0,0,1,0,0,0,"27 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Dapur Bersama di Jakarta Barat, Jakarta"
2277,"Kost Sentosa Barokah","Ki. Pelajar Pejuang 45 No. 332, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",500000,0,1,0,1,0,0,1,"13 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Dapur Bersama, Kasur, WiFi di Tangerang Utara, Tangerang"
2278,"Kost Damai Baru","Ds. Barat No. 890, Bogor Timur, Bogor","Bogor Timur, Bogor",1550000,0,0,0,1,1,1,0,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, WiFi, Wc duduk, Kamar Mandi Dalam di Bogor Timur, Bogor"
2279,"Kost Sentosa Barokah","Jln. Pahlawan No. 928, Bogor Barat, Bogor","Bogor Barat, Bogor",1700000,0,0,0,1,0,0,0,"18 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, WiFi di Bogor Barat, Bogor"
2280,"Kost Sejahtera Jaya","Kpg. Industri No. 645, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1700000,0,0,1,0,0,0,0,"11 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Lemari di Tangerang Kota, Tangerang"
2281,"Kost Damai Abadi","Gg. Ahmad Dahlan No. 997, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",900000,1,0,0,0,0,1,0,"22 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Kamar Mandi Dalam di Bekasi Barat, Bekasi"
2282,"Kost Indah Jaya","Psr. Ikan No. 810, Bogor Selatan, Bogor","Bogor Selatan, Bogor",1500000,0,0,0,0,1,0,1,"27 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Wc duduk, Luas kamar di Bogor Selatan, Bogor"
2283,"Kost Harmoni Indah","Jr. Tambak No. 262, Bogor Selatan, Bogor","Bogor Selatan, Bogor",1550000,0,0,1,0,0,0,1,"24 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Listrik di Bogor Selatan, Bogor"
2284,"Kost Harmoni Makmur","Ds. Babah No. 324, Bogor Timur, Bogor","Bogor Timur, Bogor",1300000,1,1,0,0,0,0,1,"12 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Luas kamar, Kasur, Listrik di Bogor Timur, Bogor"
2285,"Kost Bahagia Barokah","Kpg. Karel S. Tubun No. 596, Bogor Selatan, Bogor","Bogor Selatan, Bogor",1200000,0,0,0,0,1,1,1,"22 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Kamar Mandi Dalam, Listrik di Bogor Selatan, Bogor"
2286,"Kost Wisma Makmur","Ds. Cemara No. 614, Bekasi Utara, Bekasi","Bekasi Utara, Bekasi",1600000,1,1,0,0,0,1,1,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, Listrik, AC, Kasur di Bekasi Utara, Bekasi"
2287,"Kost Sentosa Jaya","Ki. Cikutra Timur No. 587, Limo, Depok","Limo, Depok",1900000,1,0,0,0,0,0,0,"13 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, AC, Luas kamar di Limo, Depok"
2288,"Kost Griya Abadi","Ki. Dr. Junjunan No. 3, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1100000,1,0,1,0,0,0,0,"22 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Dapur Bersama, AC di Jakarta Selatan, Jakarta"
2289,"Kost Griya Barokah","Jr. Raya Setiabudhi No. 59, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",700000,0,0,1,0,1,0,0,"25 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Wc duduk di Jakarta Barat, Jakarta"
2290,"Kost Wisma Lestari","Jr. Kyai Gede No. 570, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1400000,0,0,1,0,0,1,1,"29 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Kamar Mandi Dalam, Listrik di Jakarta Timur, Jakarta"
2291,"Kost Harmoni Baru","Jln. Suryo Pranoto No. 602, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1400000,0,0,0,0,1,1,0,"22 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Wc duduk di Jakarta Timur, Jakarta"
2292,"Kost Griya Indah","Jr. Achmad No. 817, Bekasi Selatan, Bekasi","Bekasi Selatan, Bekasi",2000000,0,1,0,0,1,0,0,"13 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Wc duduk di Bekasi Selatan, Bekasi"
2293,"Kost Bahagia Abadi","Ds. Bagis Utama No. 935, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1250000,0,0,1,0,0,1,0,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, Lemari di Jakarta Selatan, Jakarta"
2294,"Kost Griya Abadi","Psr. Baing No. 305, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1700000,1,1,0,0,0,0,0,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, AC, Luas kamar di Jakarta Timur, Jakarta"
2295,"Kost Indah Selaras","Jr. Bakaru No. 3, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",1200000,0,0,1,0,1,0,1,"21 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Lemari, Listrik di Bekasi Barat, Bekasi"
2296,"Kost Sentosa Lestari","Jln. Dr. Junjunan No. 715, Limo, Depok","Limo, Depok",1100000,0,0,0,0,1,0,1,"23 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Wc duduk, Listrik di Limo, Depok"
2297,"Kost Indah Asri","Jln. Reksoninten No. 199, Bogor Barat, Bogor","Bogor Barat, Bogor",1500000,0,0,1,1,0,1,0,"15 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Kamar Mandi Dalam, Lemari di Bogor Barat, Bogor"
2298,"Kost Damai Asri","Ki. Bazuka Raya No. 733, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1250000,0,0,0,0,1,1,1,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, Wc duduk, Listrik di Tangerang Kota, Tangerang"
2299,"Kost Griya Baru","Jln. Bazuka Raya No. 391, Jakarta Utara, Jakarta","Jakarta Utara, Jakarta",800000,0,1,1,0,1,0,0,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Kasur, Wc duduk di Jakarta Utara, Jakarta"
2300,"Kost Wisma Baru","Jln. Salak No. 197, Pancoran Mas, Depok","Pancoran Mas, Depok",750000,0,1,1,0,1,0,0,"12 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Wc duduk, Lemari, Dapur Bersama di Pancoran Mas, Depok"
2301,"Kost Indah Indah","Jr. Adisucipto No. 893, Sukmajaya, Depok","Sukmajaya, Depok",1600000,0,0,0,0,1,0,1,"24 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Luas kamar, Wc duduk di Sukmajaya, Depok"
2302,"Kost Damai Abadi","Ki. Uluwatu No. 482, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",1100000,0,1,1,0,0,0,0,"25 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Kasur di Bekasi Barat, Bekasi"
2303,"Kost Damai Indah","Dk. Batako No. 794, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",1100000,0,1,0,1,1,0,0,"23 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Kasur, Wc duduk, Dapur Bersama di Jakarta Pusat, Jakarta"
2304,"Kost Damai Asri","Jln. Gading No. 388, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",750000,1,0,0,0,0,0,0,"21 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, AC di Jakarta Pusat, Jakarta"
2305,"Kost Asri Barokah","Ki. Cemara No. 998, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1250000,0,0,1,0,1,0,1,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Wc duduk, Listrik di Jakarta Timur, Jakarta"
2306,"Kost Asri Baru","Ds. K.H. Wahid Hasyim (Kopo) No. 672, Bogor Utara, Bogor","Bogor Utara, Bogor",1400000,0,0,0,0,0,0,1,"17 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Listrik, Luas kamar di Bogor Utara, Bogor"
2307,"Kost Bahagia Jaya","Psr. K.H. Wahid Hasyim (Kopo) No. 250, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",2000000,1,0,0,1,0,0,1,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Listrik, Luas kamar, WiFi di Bekasi Timur, Bekasi"
2308,"Kost Asri Baru","Kpg. Fajar No. 607, Jakarta Utara, Jakarta","Jakarta Utara, Jakarta",1500000,1,0,0,0,1,0,0,"10 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, AC, Wc duduk di Jakarta Utara, Jakarta"
2309,"Kost Nyaman Utama","Gg. S. Parman No. 363, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1300000,0,1,0,0,1,0,0,"10 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, Wc duduk di Tangerang Selatan, Tangerang"
2310,"Kost Harmoni Utama","Kpg. Gedebage Selatan No. 379, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1600000,0,0,0,0,1,1,0,"29 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Dapur Bersama, Kamar Mandi Dalam di Tangerang Kota, Tangerang"
2311,"Kost Nyaman Makmur","Psr. Gedebage Selatan No. 831, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1500000,0,0,1,1,0,0,0,"20 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Luas kamar, WiFi di Tangerang Kota, Tangerang"
2312,"Kost Asri Indah","Ds. Pasteur No. 74, Bogor Timur, Bogor","Bogor Timur, Bogor",750000,0,1,1,1,1,0,0,"24 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Wc duduk, Kasur, WiFi di Bogor Timur, Bogor"
2313,"Kost Harmoni Abadi","Gg. Ketandan No. 999, Bogor Tengah, Bogor","Bogor Tengah, Bogor",750000,0,1,0,0,0,1,0,"17 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Kamar Mandi Dalam, Kasur di Bogor Tengah, Bogor"
2314,"Kost Damai Selaras","Ki. Honggowongso No. 745, Pancoran Mas, Depok","Pancoran Mas, Depok",500000,0,1,1,0,0,1,0,"20 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, Lemari, Kamar Mandi Dalam di Pancoran Mas, Depok"
2315,"Kost Harmoni Makmur","Jln. Muwardi No. 10, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1800000,0,0,0,0,0,0,1,"22 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Listrik di Jakarta Selatan, Jakarta"
2316,"Kost Wisma Indah","Jr. Babah No. 33, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",2000000,0,0,0,0,0,1,1,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Listrik, Kamar Mandi Dalam di Jakarta Pusat, Jakarta"
2317,"Kost Sejahtera Makmur","Ds. Elang No. 922, Cimanggis, Depok","Cimanggis, Depok",1550000,0,0,0,1,0,1,0,"12 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Kamar Mandi Dalam di Cimanggis, Depok"
2318,"Kost Wisma Jaya","Gg. Sukabumi No. 764, Bekasi Utara, Bekasi","Bekasi Utara, Bekasi",2000000,1,1,0,0,0,0,0,"26 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Luas kamar, AC di Bekasi Utara, Bekasi"
2319,"Kost Bahagia Abadi","Psr. Rajiman No. 352, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",500000,0,1,1,0,0,0,1,"26 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Kasur, Lemari, Luas kamar di Jakarta Pusat, Jakarta"
2320,"Kost Indah Utama","Ds. Sutarto No. 903, Bogor Tengah, Bogor","Bogor Tengah, Bogor",800000,0,0,0,0,1,0,0,"15 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, Wc duduk di Bogor Tengah, Bogor"
2321,"Kost Griya Barokah","Gg. Ikan No. 254, Bogor Utara, Bogor","Bogor Utara, Bogor",1000000,0,0,0,0,0,0,1,"24 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, Listrik di Bogor Utara, Bogor"
2322,"Kost Indah Barokah","Kpg. Baranang No. 545, Bogor Utara, Bogor","Bogor Utara, Bogor",2000000,1,0,1,0,0,1,0,"19 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, AC, Kamar Mandi Dalam, Dapur Bersama di Bogor Utara, Bogor"
2323,"Kost Nyaman Abadi","Gg. Pasteur No. 88, Limo, Depok","Limo, Depok",1900000,0,0,1,0,0,0,1,"22 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Listrik, Lemari di Limo, Depok"
2324,"Kost Asri Makmur","Jr. Pasteur No. 296, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",2000000,1,1,0,1,0,0,0,"14 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas AC, WiFi, Dapur Bersama, Kasur di Bekasi Timur, Bekasi"
2325,"Kost Bahagia Jaya","Ds. Untung Suropati No. 708, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1600000,0,1,1,0,0,1,0,"21 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, Lemari, Kamar Mandi Dalam di Jakarta Timur, Jakarta"
2326,"Kost Asri Utama","Kpg. Lembong No. 739, Bogor Tengah, Bogor","Bogor Tengah, Bogor",2000000,0,1,1,1,0,0,0,"23 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, WiFi, Lemari, Dapur Bersama di Bogor Tengah, Bogor"
2327,"Kost Wisma Abadi","Jr. Sutoyo No. 727, Bogor Selatan, Bogor","Bogor Selatan, Bogor",700000,1,1,0,0,1,0,0,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Wc duduk, AC di Bogor Selatan, Bogor"
2328,"Kost Sentosa Utama","Ki. Bhayangkara No. 380, Pancoran Mas, Depok","Pancoran Mas, Depok",700000,0,1,0,1,0,1,0,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Kasur, Kamar Mandi Dalam, WiFi di Pancoran Mas, Depok"
2329,"Kost Sejahtera Jaya","Kpg. Bakin No. 522, Bogor Timur, Bogor","Bogor Timur, Bogor",1400000,0,1,0,0,0,0,1,"14 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Luas kamar, Listrik di Bogor Timur, Bogor"
2330,"Kost Wisma Indah","Jln. Bak Mandi No. 382, Limo, Depok","Limo, Depok",1800000,0,0,0,1,0,0,1,"26 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Listrik di Limo, Depok"
2331,"Kost Indah Indah","Jr. Umalas No. 689, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",1300000,0,0,0,0,0,0,1,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Listrik, Dapur Bersama di Bekasi Barat, Bekasi"
2332,"Kost Sentosa Barokah","Jln. Babah No. 451, Bogor Tengah, Bogor","Bogor Tengah, Bogor",750000,1,0,1,0,0,1,0,"26 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Kamar Mandi Dalam, Luas kamar, Lemari di Bogor Tengah, Bogor"
2333,"Kost Griya Jaya","Gg. Haji No. 689, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1550000,0,0,1,1,0,0,0,"19 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Lemari, Dapur Bersama, Luas kamar di Tangerang Selatan, Tangerang"
2334,"Kost Indah Barokah","Ds. Baranangsiang No. 783, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1550000,1,0,0,0,0,0,1,"19 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Listrik, AC di Jakarta Selatan, Jakarta"
2335,"Kost Indah Makmur","Psr. Juanda No. 475, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",1400000,0,0,0,0,1,0,0,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Dapur Bersama di Bekasi Barat, Bekasi"
2336,"Kost Bahagia Jaya","Ds. Merdeka No. 515, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1900000,0,0,1,0,1,0,1,"14 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Listrik, Wc duduk di Tangerang Selatan, Tangerang"
2337,"Kost Bahagia Asri","Ki. Sukabumi No. 917, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",700000,0,0,1,1,0,0,0,"18 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Dapur Bersama, Luas kamar, Lemari di Tangerang Utara, Tangerang"
2338,"Kost Harmoni Lestari","Kpg. Supomo No. 67, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",800000,0,0,1,0,0,1,1,"16 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Kamar Mandi Dalam, Lemari di Bekasi Timur, Bekasi"
